location_id,depth,Unit,sample_id,d13C,d15N,C,N,C/N,LOI,MS,Hg,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Zr,Mo,Ag,Cd,Sn,Sb,W,Pb,Bi,Se,Rb,Sr,Y,Nb,Ba,La,Ce,Pr,Nd,Sm,Hg-XRF,Th,U,Fe/Mn
LL PC2,2,Unit 3,LL-131A,,,,,,,,68.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,2,Unit 3,LL-131B,,,,,,,,64.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,2,Unit 3,LL-131C,,,,,,,,70.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,11,Unit 2,LL-122A,,,,,,,,164.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,11,Unit 2,LL-122B,,,,,,,,151.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,11,Unit 2,LL-122C,,,,,,,,158.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,16,Unit 2,LL-117A,,,,,,,,175.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,16,Unit 2,LL-117B,,,,,,,,173.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,16,Unit 2,LL-117C,,,,,,,,179.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,34,Unit 2,LL-99A,,,,,,,,140.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,34,Unit 2,LL-99B,,,,,,,,130.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,34,Unit 2,LL-99C,,,,,,,,136.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,38,Unit 2,LL-95A,,,,,,,,143.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,38,Unit 2,LL-95B,,,,,,,,139.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,38,Unit 2,LL-95C,,,,,,,,137.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,53,Unit 2,LL-80A,,,,,,,,895.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,53,Unit 2,LL-80B,,,,,,,,868.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,53,Unit 2,LL-80C,,,,,,,,859.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,58,Unit 2,LL-75A,,,,,,,,280.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,58,Unit 2,LL-75B,,,,,,,,238.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,58,Unit 2,LL-75C,,,,,,,,259.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,68,Unit 2,LL-65A,,,,,,,,65.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,68,Unit 2,LL-65B,,,,,,,,68.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,68,Unit 2,LL-65C,,,,,,,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,73,Unit 2,LL-60A,,,,,,,,42.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,73,Unit 2,LL-60B,,,,,,,,40.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,73,Unit 2,LL-60C,,,,,,,,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,78,Unit 2,LL-55A,,,,,,,,26.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,78,Unit 2,LL-55B,,,,,,,,27.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,78,Unit 2,LL-55C,,,,,,,,27.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,88,Unit 2,LL-45A,,,,,,,,25.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,88,Unit 2,LL-45B,,,,,,,,23.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,88,Unit 2,LL-45C,,,,,,,,26.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,93,Unit 2,LL-40A,,,,,,,,55.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,93,Unit 2,LL-40B,,,,,,,,57.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,93,Unit 2,LL-40C,,,,,,,,58.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,98,Unit 1a,LL-35A,,,,,,,,62.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,98,Unit 1a,LL-35B,,,,,,,,64.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,98,Unit 1a,LL-35C,,,,,,,,63.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,108,Unit 1,LL-25A,,,,,,,,1.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,108,Unit 1,LL-25B,,,,,,,,1.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,108,Unit 1,LL-25C,,,,,,,,1.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,130,Unit 1,LL-3A,,,,,,,,1.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,130,Unit 1,LL-3B,,,,,,,,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,130,Unit 1,LL-3C,,,,,,,,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
